1.00000e+01 1.21137e-42
1.00231e+01 1.18877e-42
1.00462e+01 1.16661e-42
1.00693e+01 1.14486e-42
1.00926e+01 1.12354e-42
1.01158e+01 1.10261e-42
1.01392e+01 1.08209e-42
1.01625e+01 1.06195e-42
1.01860e+01 1.04220e-42
1.02095e+01 1.02282e-42
1.02330e+01 1.00381e-42
1.02566e+01 9.85164e-43
1.02803e+01 9.66866e-43
1.03040e+01 9.48915e-43
1.03277e+01 9.31303e-43
1.03515e+01 9.14023e-43
1.03754e+01 8.97070e-43
1.03993e+01 8.80437e-43
1.04233e+01 8.64117e-43
1.04474e+01 8.48105e-43
1.04714e+01 8.32394e-43
1.04956e+01 8.16979e-43
1.05198e+01 8.01854e-43
1.05441e+01 7.87014e-43
1.05684e+01 7.72452e-43
1.05927e+01 7.58164e-43
1.06172e+01 7.44144e-43
1.06417e+01 7.30388e-43
1.06662e+01 7.16889e-43
1.06908e+01 7.03644e-43
1.07154e+01 6.90646e-43
1.07401e+01 6.77893e-43
1.07649e+01 6.65378e-43
1.07897e+01 6.53097e-43
1.08146e+01 6.41046e-43
1.08396e+01 6.29221e-43
1.08646e+01 6.17617e-43
1.08896e+01 6.06229e-43
1.09147e+01 5.95055e-43
1.09399e+01 5.84089e-43
1.09651e+01 5.73328e-43
1.09904e+01 5.62768e-43
1.10157e+01 5.52404e-43
1.10412e+01 5.42234e-43
1.10666e+01 5.32254e-43
1.10921e+01 5.22460e-43
1.11177e+01 5.12848e-43
1.11433e+01 5.03416e-43
1.11690e+01 4.94159e-43
1.11948e+01 4.85074e-43
1.12206e+01 4.76159e-43
1.12465e+01 4.67409e-43
1.12724e+01 4.58823e-43
1.12984e+01 4.50396e-43
1.13245e+01 4.42125e-43
1.13506e+01 4.34009e-43
1.13768e+01 4.26043e-43
1.14030e+01 4.18225e-43
1.14293e+01 4.10553e-43
1.14556e+01 4.03023e-43
1.14821e+01 3.95633e-43
1.15085e+01 3.88380e-43
1.15351e+01 3.81262e-43
1.15617e+01 3.74276e-43
1.15883e+01 3.67419e-43
1.16151e+01 3.60690e-43
1.16418e+01 3.54086e-43
1.16687e+01 3.47604e-43
1.16956e+01 3.41242e-43
1.17226e+01 3.34998e-43
1.17496e+01 3.28870e-43
1.17767e+01 3.22855e-43
1.18039e+01 3.16952e-43
1.18311e+01 3.11159e-43
1.18584e+01 3.05472e-43
1.18857e+01 2.99891e-43
1.19131e+01 2.94414e-43
1.19406e+01 2.89038e-43
1.19681e+01 2.83761e-43
1.19957e+01 2.78582e-43
1.20234e+01 2.73499e-43
1.20511e+01 2.68510e-43
1.20789e+01 2.63613e-43
1.21068e+01 2.58807e-43
1.21347e+01 2.54090e-43
1.21627e+01 2.49460e-43
1.21907e+01 2.44916e-43
1.22188e+01 2.40456e-43
1.22470e+01 2.36078e-43
1.22752e+01 2.31782e-43
1.23035e+01 2.27565e-43
1.23319e+01 2.23426e-43
1.23603e+01 2.19363e-43
1.23888e+01 2.15376e-43
1.24174e+01 2.11462e-43
1.24461e+01 2.07621e-43
1.24748e+01 2.03851e-43
1.25035e+01 2.00151e-43
1.25324e+01 1.96519e-43
1.25613e+01 1.92954e-43
1.25902e+01 1.89455e-43
1.26193e+01 1.86021e-43
1.26484e+01 1.82651e-43
1.26775e+01 1.79343e-43
1.27068e+01 1.76096e-43
1.27361e+01 1.72909e-43
1.27654e+01 1.69782e-43
1.27949e+01 1.66712e-43
1.28244e+01 1.63699e-43
1.28539e+01 1.60742e-43
1.28836e+01 1.57839e-43
1.29133e+01 1.54991e-43
1.29431e+01 1.52195e-43
1.29729e+01 1.49451e-43
1.30028e+01 1.46758e-43
1.30328e+01 1.44115e-43
1.30629e+01 1.41521e-43
1.30930e+01 1.38975e-43
1.31232e+01 1.36476e-43
1.31534e+01 1.34024e-43
1.31838e+01 1.31617e-43
1.32142e+01 1.29255e-43
1.32447e+01 1.26938e-43
1.32752e+01 1.24663e-43
1.33058e+01 1.22430e-43
1.33365e+01 1.20240e-43
1.33672e+01 1.18090e-43
1.33981e+01 1.15980e-43
1.34290e+01 1.13910e-43
1.34599e+01 1.11878e-43
1.34910e+01 1.09885e-43
1.35221e+01 1.07928e-43
1.35533e+01 1.06009e-43
1.35845e+01 1.04125e-43
1.36158e+01 1.02277e-43
1.36472e+01 1.00464e-43
1.36787e+01 9.86848e-44
1.37103e+01 9.69393e-44
1.37419e+01 9.52267e-44
1.37736e+01 9.35466e-44
1.38053e+01 9.18984e-44
1.38372e+01 9.02814e-44
1.38691e+01 8.86953e-44
1.39011e+01 8.71395e-44
1.39331e+01 8.56135e-44
1.39652e+01 8.41167e-44
1.39974e+01 8.26487e-44
1.40297e+01 8.12090e-44
1.40621e+01 7.97972e-44
1.40945e+01 7.84129e-44
1.41270e+01 7.70555e-44
1.41596e+01 7.57247e-44
1.41922e+01 7.44200e-44
1.42250e+01 7.31411e-44
1.42578e+01 7.18876e-44
1.42906e+01 7.06590e-44
1.43236e+01 6.94552e-44
1.43566e+01 6.82756e-44
1.43897e+01 6.71200e-44
1.44229e+01 6.59880e-44
1.44562e+01 6.48794e-44
1.44895e+01 6.37938e-44
1.45229e+01 6.27311e-44
1.45564e+01 6.16909e-44
1.45900e+01 6.06730e-44
1.46236e+01 5.96771e-44
1.46573e+01 5.87031e-44
1.46911e+01 5.77509e-44
1.47250e+01 5.68201e-44
1.47590e+01 5.59107e-44
1.47930e+01 5.50226e-44
1.48271e+01 5.41557e-44
1.48613e+01 5.33099e-44
1.48956e+01 5.24851e-44
1.49299e+01 5.16815e-44
