1	6400
1.02	4920
1.04	3808
1.06	2944
1.08	2276
1.1	1756
1.12	1356
1.14	1048
1.16	812
1.18	628
1.2	484
1.22	374
1.25	288.8
1.27	223.2
1.29	172.4
1.32	133.2
1.34	102.8
1.37	79.6
1.39	61.6
1.42	47.6
1.45	36.72
1.47	28.36
1.5	21.92
1.53	16.92
1.56	13.08
1.58	10.12
1.61	7.8
1.64	6.04
1.67	4.68
1.71	3.604
1.74	2.784
1.77	2.152
1.8	1.664
1.84	1.284
1.87	0.992
1.91	0.768
1.94	0.592
1.98	0.456
2.01	0.354
2.05	0.2736
2.09	0.2112
2.13	0.1632
2.17	0.126
2.21	0.0976
2.25	0.0752
2.29	0.058
2.33	0.0448
2.38	0.03472
2.42	0.02684
2.47	0.02076
2.51	0.01604
2.56	0.0124
2.61	0.00956
2.65	0.0074
2.7	0.00572
2.75	0.0044
2.81	0.003412
2.86	0.002636
2.91	0.002036
2.96	0.001572
3.02	0.001216
3.08	0.00094
3.13	0.000724
3.19	0.00056
3.25	0.000432
3.31	0.0003348
3.37	0.0002588
3.44	0.0002
3.5	0.0001544
3.56	0.0001192
3.63	9.24e-05
3.7	7.12e-05
3.77	5.52e-05
3.84	4.24e-05
3.91	3.288e-05
3.98	2.54e-05
4.06	1.964e-05
4.13	1.516e-05
4.21	1.172e-05
4.29	9.04e-06
4.37	7e-06
4.45	5.4e-06
4.53	4.16e-06
4.61	3.228e-06
4.7	2.492e-06
4.79	1.928e-06
4.88	1.488e-06
4.97	1.152e-06
5.06	8.88e-07
5.15	6.88e-07
5.25	5.32e-07
5.35	4.12e-07
5.45	3.168e-07
5.55	2.448e-07
5.65	1.892e-07
5.75	1.46e-07
5.86	1.128e-07
5.97	8.72e-08
6.08	6.76e-08
6.19	5.2e-08
6.31	4.04e-08
6.43	3.112e-08
6.55	2.404e-08
6.67	1.856e-08
6.79	1.436e-08
6.92	1.108e-08
7.05	8.56e-09
7.18	6.6e-09
7.31	5.12e-09
7.45	3.952e-09
7.59	3.052e-09
7.73	2.36e-09
7.87	1.824e-09
8.02	1.408e-09
8.17	1.088e-09
8.32	8.4e-10
8.47	6.48e-10
8.63	5.04e-10
8.79	3.88e-10
8.95	2.996e-10
9.12	2.316e-10
9.29	1.788e-10
9.46	1.384e-10
9.64	1.068e-10
9.82	8.24e-11
10	6.4e-11
10.2	4.92e-11
10.4	3.808e-11
10.6	2.944e-11
10.8	2.276e-11
11	1.756e-11
11.2	1.356e-11
11.4	1.048e-11
11.6	8.12e-12
11.8	6.28e-12
12	4.84e-12
12.2	3.74e-12
12.5	2.888e-12
12.7	2.232e-12
12.9	1.724e-12
13.2	1.332e-12
13.4	1.028e-12
13.7	7.96e-13
13.9	6.16e-13
14.2	4.76e-13
14.5	3.672e-13
14.7	2.836e-13
15	2.192e-13
15.3	1.692e-13
15.6	1.308e-13
15.8	1.012e-13
16.1	7.8e-14
16.4	6.04e-14
16.7	4.68e-14
17.1	3.604e-14
17.4	2.784e-14
17.7	2.152e-14
18	1.664e-14
18.4	1.284e-14
18.7	9.92e-15
19.1	7.68e-15
19.4	5.92e-15
19.8	4.56e-15
20.1	3.54e-15
20.5	2.736e-15
20.9	2.112e-15
21.3	1.632e-15
21.7	1.26e-15
22.1	9.76e-16
22.5	7.52e-16
22.9	5.8e-16
23.3	4.48e-16
23.8	3.476e-16
24.2	2.684e-16
24.7	2.076e-16
25.1	1.604e-16
25.6	1.24e-16
26.1	9.56e-17
26.5	7.4e-17
27	5.72e-17
27.5	4.4e-17
28.1	3.416e-17
28.6	2.64e-17
29.1	2.044e-17
29.6	1.584e-17
30.2	1.228e-17
30.8	9.52e-18
31.3	7.4e-18
31.9	5.8e-18
32.5	4.56e-18
33.1	3.604e-18
33.7	2.888e-18
34.4	2.352e-18
35	1.952e-18
35.6	1.66e-18
36.3	1.444e-18
37	1.288e-18
37.7	1.168e-18
38.4	1.08e-18
39.1	1.012e-18
39.8	9.6e-19
40.6	9.12e-19
41.3	8.72e-19
42.1	8.36e-19
42.9	8.04e-19
43.7	7.72e-19
44.5	7.44e-19
45.3	7.16e-19
46.1	6.88e-19
47	6.64e-19
47.9	6.4e-19
48.8	6.16e-19
49.7	5.96e-19
50.6	5.72e-19
51.5	5.52e-19
52.5	5.32e-19
53.5	5.12e-19
54.5	4.96e-19
55.5	4.76e-19
56.5	4.6e-19
57.5	4.44e-19
58.6	4.28e-19
59.7	4.12e-19
60.8	3.972e-19
61.9	3.828e-19
63.1	3.692e-19
64.3	3.56e-19
65.5	3.432e-19
66.7	3.308e-19
67.9	3.192e-19
69.2	3.08e-19
70.5	2.968e-19
71.8	2.864e-19
73.1	2.764e-19
74.5	2.668e-19
75.9	2.572e-19
77.3	2.484e-19
78.7	2.396e-19
80.2	2.312e-19
81.7	2.232e-19
83.2	2.156e-19
84.7	2.084e-19
86.3	2.012e-19
87.9	1.944e-19
89.5	1.88e-19
91.2	1.82e-19
92.9	1.76e-19
94.6	1.704e-19
96.4	1.648e-19
98.2	1.596e-19
100	1.548e-19
102	1.5e-19
104	1.456e-19
106	1.416e-19
108	1.376e-19
110	1.336e-19
112	1.3e-19
114	1.268e-19
116	1.236e-19
118	1.208e-19
120	1.18e-19
122	1.156e-19
125	1.132e-19
127	1.112e-19
129	1.092e-19
132	1.072e-19
134	1.056e-19
137	1.044e-19
139	1.032e-19
142	1.02e-19
145	1.012e-19
147	1.004e-19
150	9.96e-20
153	9.92e-20
156	9.92e-20
158	9.88e-20
161	9.88e-20
164	9.88e-20
167	9.92e-20
